Unnamed: 0,[MW],Demand_kWh,valid_time,latitude_x,longitude_x,number_x,PV_Generation_kWh,latitude_y,longitude_y,number_y,Wind_Generation_kWh,Net_Balance_kWh,Battery_Charge_kWh,Battery_Discharge_kWh,Battery_Level_kWh
,0.7416498776147181,741.6498776147181,2023-06-16 10:00:00,51.644,8.897,0,2602.457,51.644,8.897,0,256.61884,2117.426050119657,2117.426050119657,0.0,45080.61066699504
,0.7609145938779589,760.9145938779589,2023-06-16 11:00:00,51.644,8.897,0,3463.2131,51.644,8.897,0,372.06046,3074.359087762666,3074.359087762666,0.0,48154.9697547577
,0.7528528800015666,752.8528800015665,2023-06-16 12:00:00,51.644,8.897,0,4368.297,51.644,8.897,0,521.8351,4137.2789559359335,1845.0302452422984,0.0,50000.0
,0.7971645073083569,797.1645073083569,2023-06-16 13:00:00,51.644,8.897,0,5253.6504,51.644,8.897,0,688.6076,5145.093305191644,0.0,0.0,50000.0
,1.1908541346099664,1190.8541346099664,2023-06-16 14:00:00,51.644,8.897,0,5939.4355,51.644,8.897,0,714.47644,5463.057974765034,0.0,0.0,50000.0
,1.691903551534427,1691.903551534427,2023-06-16 15:00:00,51.644,8.897,0,6501.595,51.644,8.897,0,699.2163,5508.907971903073,0.0,0.0,50000.0
,1.8765167993038092,1876.5167993038092,2023-06-16 16:00:00,51.644,8.897,0,7004.277,51.644,8.897,0,628.24866,5756.008591321191,0.0,0.0,50000.0
,1.88619085595548,1886.1908559554795,2023-06-16 17:00:00,51.644,8.897,0,7309.8193,51.644,8.897,0,433.0789,5856.7075815445205,0.0,0.0,50000.0
,1.326290927733356,1326.2909277333558,2023-06-16 18:00:00,51.644,8.897,0,7495.8735,51.644,8.897,0,268.10248,6437.685146485394,0.0,0.0,50000.0
,1.357259028624049,1357.2590286240488,2023-06-16 19:00:00,51.644,8.897,0,7572.864,51.644,8.897,0,9.906423,6225.510990907202,0.0,0.0,50000.0
,1.1635833024970674,1163.5833024970673,2023-06-16 20:00:00,51.644,8.897,0,7582.936,51.644,8.897,0,50.98569,6470.338572502933,0.0,0.0,50000.0
,1.385836414365191,1385.836414365191,2023-06-16 21:00:00,51.644,8.897,0,7582.936,51.644,8.897,0,93.05817,6290.157726259809,0.0,0.0,50000.0
,1.3920633933593698,1392.06339335937,2023-06-16 22:00:00,51.644,8.897,0,7582.936,51.644,8.897,0,97.20195,6288.07479023438,0.0,0.0,50000.0
,1.3517270249640418,1351.7270249640417,2023-06-16 23:00:00,51.644,8.897,0,7582.936,51.644,8.897,0,64.737206,6295.946314879709,0.0,0.0,50000.0
,1.5833206053234337,1583.3206053234337,2023-06-17 00:00:00,51.644,8.897,0,7582.936,51.644,8.897,0,51.716522,6051.331738426567,0.0,0.0,50000.0
,1.840433679953612,1840.433679953612,2023-06-17 01:00:00,51.644,8.897,0,0.0,51.644,8.897,0,66.59807,-1773.8356117163073,0.0,1773.8356117163073,48226.164388283694
,1.8304816331682727,1830.4816331682723,2023-06-17 02:00:00,51.644,8.897,0,0.0,51.644,8.897,0,74.148476,-1756.3331575213,0.0,1756.3331575213,46469.83123076239
,1.8275627367647516,1827.5627367647512,2023-06-17 03:00:00,51.644,8.897,0,0.0,51.644,8.897,0,78.59068,-1748.9720537813528,0.0,1748.9720537813528,44720.85917698104
,1.8290638834865625,1829.0638834865624,2023-06-17 04:00:00,51.644,8.897,0,18.871231,51.644,8.897,0,63.751987,-1746.4406687648827,0.0,1746.4406687648827,42974.41850821616
,1.8482452027097025,1848.2452027097024,2023-06-17 05:00:00,51.644,8.897,0,136.21997,51.644,8.897,0,38.75646,-1673.268777538804,0.0,1673.268777538804,41301.14973067735
,1.8401556898199436,1840.1556898199435,2023-06-17 06:00:00,51.644,8.897,0,395.32202,51.644,8.897,0,67.30505,-1377.5286146246308,0.0,1377.5286146246308,39923.621116052724
,1.6120091871180433,1612.0091871180434,2023-06-17 07:00:00,51.644,8.897,0,819.5322,51.644,8.897,0,208.27803,-584.1988843836684,0.0,584.1988843836684,39339.42223166906
,1.4870526220339635,1487.0526220339636,2023-06-17 08:00:00,51.644,8.897,0,1414.5354,51.644,8.897,0,253.28699,180.76976566134888,180.76976566134888,0.0,39520.1919973304
,1.7090555427817855,1709.0555427817858,2023-06-17 09:00:00,51.644,8.897,0,2150.1775,51.644,8.897,0,270.91693,712.0389396400892,712.0389396400892,0.0,40232.23093697049
,1.810883328744629,1810.8833287446291,2023-06-17 10:00:00,51.644,8.897,0,2983.1318,51.644,8.897,0,297.28723,1469.5356165678706,1469.5356165678706,0.0,41701.76655353836
,1.795371479285916,1795.371479285916,2023-06-17 11:00:00,51.644,8.897,0,3803.5276,51.644,8.897,0,329.2199,2337.376079307834,2337.376079307834,0.0,44039.14263284619
,1.797512003315165,1797.512003315165,2023-06-17 12:00:00,51.644,8.897,0,4647.7734,51.644,8.897,0,346.23938,3196.500691997335,3196.500691997335,0.0,47235.64332484352
,1.7911738282675191,1791.173828267519,2023-06-17 13:00:00,51.644,8.897,0,5481.511,51.644,8.897,0,318.56784,4008.905273294981,2764.3566751564795,0.0,50000.0
,1.8014872622266276,1801.4872622266275,2023-06-17 14:00:00,51.644,8.897,0,6287.638,51.644,8.897,0,264.17737,4750.3281674608725,0.0,0.0,50000.0
,1.7911182302407849,1791.118230240785,2023-06-17 15:00:00,51.644,8.897,0,6901.358,51.644,8.897,0,215.67654,5325.916437727965,0.0,0.0,50000.0
